Specialization,Case Type,Case Number,Lawyer ID,Win/Lose
Business Lawyer,BusinessFraud,1036,1013,1
Tax Lawyer,TaxFraud,1051,1016,1
Business Lawyer,BusinessFraud,1010,1013,1
Immigration Lawyer,Deportation,1054,1010,1
Tax Lawyer,TaxFraud,1021,1017,0
Tax Lawyer,IRSAudit,1013,1017,0
Tax Lawyer,TaxFraud,1007,1017,1
Tax Lawyer,IRSAudit,1025,1017,0
Tax Lawyer,IRSAudit,1038,1016,0
Business Lawyer,BusinessFraud,1026,1014,1
Immigration Lawyer,Deportation,1033,1010,0
Business Lawyer,ContractDispute,1035,1013,1
Criminal Lawyer,Drug,1033,1002,0
Immigration Lawyer,Deportation,1039,1009,0
Business Lawyer,BusinessFraud,1013,1013,0
Criminal Lawyer,Burglary,1030,1000,0
Immigration Lawyer,Asylum,1001,1010,1
Business Lawyer,IntellectualProperty,1004,1014,0
Family Lawyer,Divorce,1011,1006,1
Immigration Lawyer,VisaApplication,1009,1008,1
Tax Lawyer,IRSAudit,1020,1016,0
Criminal Lawyer,Robbery,1012,1000,1
Family Lawyer,Divorce,1018,1004,0
Family Lawyer,Divorce,1027,1005,1
Business Lawyer,IntellectualProperty,1034,1013,0
Family Lawyer,Adoption,1013,1004,1
Business Lawyer,BusinessFraud,1057,1014,1
Criminal Lawyer,Burglary,1025,1001,1
Criminal Lawyer,Assault,1011,1002,1
Immigration Lawyer,VisaApplication,1014,1010,0
Tax Lawyer,TaxEvasion,1019,1016,1
Business Lawyer,ContractDispute,1031,1012,0
Criminal Lawyer,Drug,1011,1001,0
Tax Lawyer,TaxEvasion,1014,1019,1
Business Lawyer,IntellectualProperty,1004,1012,0
Tax Lawyer,TaxEvasion,1014,1019,1
Tax Lawyer,TaxFraud,1017,1018,1
Family Lawyer,ChildCustody,1021,1004,1
Immigration Lawyer,VisaApplication,1024,1008,0
Tax Lawyer,IRSAudit,1046,1016,0
Family Lawyer,Adoption,1008,1005,0
Immigration Lawyer,VisaApplication,1017,1009,0
Business Lawyer,ContractDispute,1024,1013,1
Immigration Lawyer,VisaApplication,1027,1010,0
Tax Lawyer,IRSAudit,1025,1018,0
Immigration Lawyer,Deportation,1054,1010,1
Immigration Lawyer,VisaApplication,1005,1009,1
Criminal Lawyer,Burglary,1002,1002,1
Immigration Lawyer,VisaApplication,1045,1010,1
Tax Lawyer,TaxEvasion,1018,1017,0
Immigration Lawyer,Deportation,1017,1008,0
Tax Lawyer,TaxEvasion,1047,1016,0
Criminal Lawyer,Drug,1015,1000,0
Business Lawyer,BusinessFraud,1009,1012,0
Business Lawyer,BusinessFraud,1013,1013,0
Business Lawyer,BusinessFraud,1036,1014,1
Tax Lawyer,TaxFraud,1014,1017,0
Family Lawyer,Divorce,1040,1004,1
Family Lawyer,Adoption,1031,1004,1
Criminal Lawyer,Drug,1028,1001,1
Criminal Lawyer,Assault,1006,1002,0
Business Lawyer,ContractDispute,1001,1013,1
Tax Lawyer,TaxEvasion,1003,1018,1
Family Lawyer,Adoption,1003,1004,0
Tax Lawyer,IRSAudit,1002,1018,0
Business Lawyer,ContractDispute,1046,1013,0
Family Lawyer,ChildCustody,1012,1006,0
Immigration Lawyer,Deportation,1005,1010,1
Business Lawyer,ContractDispute,1035,1013,1
Immigration Lawyer,VisaApplication,1010,1008,0
Criminal Lawyer,Drug,1009,1001,1
Tax Lawyer,TaxEvasion,1005,1018,0
Family Lawyer,ChildCustody,1012,1006,0
Immigration Lawyer,VisaApplication,1043,1009,1
Criminal Lawyer,Assault,1014,1002,1
Tax Lawyer,TaxFraud,1026,1017,1
Business Lawyer,IntellectualProperty,1030,1013,0
Immigration Lawyer,Asylum,1013,1009,1
Business Lawyer,ContractDispute,1048,1013,0
Business Lawyer,IntellectualProperty,1004,1012,0
Business Lawyer,BusinessFraud,1034,1014,0
Tax Lawyer,TaxEvasion,1001,1017,1
Immigration Lawyer,Deportation,1049,1010,0
Family Lawyer,ChildCustody,1015,1004,1
Immigration Lawyer,VisaApplication,1009,1010,0
Family Lawyer,Divorce,1024,1006,1
Business Lawyer,ContractDispute,1030,1012,0
Family Lawyer,Divorce,1018,1004,0
Business Lawyer,IntellectualProperty,1044,1014,0
Criminal Lawyer,Drug,1028,1000,1
Business Lawyer,IntellectualProperty,1041,1014,0
Family Lawyer,ChildCustody,1010,1004,0
Immigration Lawyer,Deportation,1049,1010,0
Business Lawyer,ContractDispute,1033,1013,0
Criminal Lawyer,Burglary,1021,1000,0
Business Lawyer,IntellectualProperty,1009,1014,1
Tax Lawyer,TaxEvasion,1025,1019,1
Criminal Lawyer,Assault,1021,1002,1
Business Lawyer,ContractDispute,1038,1012,0
Family Lawyer,Divorce,1020,1005,1
Family Lawyer,Adoption,1008,1005,0
Business Lawyer,BusinessFraud,1018,1013,0
Tax Lawyer,TaxEvasion,1034,1016,0
Criminal Lawyer,Burglary,1019,1002,0
Tax Lawyer,IRSAudit,1001,1019,0
Tax Lawyer,IRSAudit,1015,1018,1
Business Lawyer,BusinessFraud,1051,1012,1
Tax Lawyer,IRSAudit,1023,1016,0
Criminal Lawyer,Assault,1039,1000,1
Criminal Lawyer,Murder,1036,1000,1
Tax Lawyer,TaxEvasion,1018,1019,0
Immigration Lawyer,VisaApplication,1008,1008,1
Tax Lawyer,TaxFraud,1002,1016,0
Business Lawyer,ContractDispute,1006,1012,0
Business Lawyer,ContractDispute,1043,1012,1
Tax Lawyer,TaxEvasion,1013,1019,0
Immigration Lawyer,Asylum,1013,1008,0
Tax Lawyer,TaxEvasion,1029,1017,0
Tax Lawyer,TaxEvasion,1018,1019,0
Tax Lawyer,TaxEvasion,1017,1019,0
Criminal Lawyer,Robbery,1030,1002,1
Business Lawyer,BusinessFraud,1029,1013,1
Business Lawyer,BusinessFraud,1050,1013,1
Immigration Lawyer,VisaApplication,1017,1010,0
Criminal Lawyer,Robbery,1021,1001,0
Business Lawyer,IntellectualProperty,1039,1012,1
Immigration Lawyer,Deportation,1046,1010,0
Tax Lawyer,TaxFraud,1007,1019,1
Business Lawyer,IntellectualProperty,1005,1013,0
Criminal Lawyer,Assault,1011,1002,1
Criminal Lawyer,Assault,1013,1001,0
Family Lawyer,ChildCustody,1039,1004,1
Business Lawyer,ContractDispute,1006,1012,0
Family Lawyer,Adoption,1033,1004,1
Tax Lawyer,TaxFraud,1009,1018,0
Family Lawyer,Adoption,1006,1006,1
Business Lawyer,IntellectualProperty,1026,1012,1
Immigration Lawyer,VisaApplication,1011,1009,1
Immigration Lawyer,Deportation,1003,1009,0
Criminal Lawyer,Drug,1028,1001,1
Criminal Lawyer,Drug,1028,1000,1
Immigration Lawyer,Deportation,1040,1009,0
Business Lawyer,BusinessFraud,1057,1014,1
Tax Lawyer,TaxEvasion,1029,1016,0
Business Lawyer,BusinessFraud,1046,1012,0
Tax Lawyer,IRSAudit,1027,1017,0
Immigration Lawyer,Deportation,1023,1009,1
Family Lawyer,Divorce,1027,1004,0
Family Lawyer,Divorce,1010,1006,1
Tax Lawyer,TaxFraud,1024,1018,1
Tax Lawyer,TaxEvasion,1029,1017,0
Immigration Lawyer,Deportation,1050,1010,1
Tax Lawyer,IRSAudit,1022,1019,1
Tax Lawyer,TaxFraud,1011,1017,1
Family Lawyer,Divorce,1011,1005,1
Criminal Lawyer,Robbery,1028,1002,1
Business Lawyer,BusinessFraud,1031,1013,0
Tax Lawyer,IRSAudit,1028,1019,1
Immigration Lawyer,Asylum,1041,1009,0
Immigration Lawyer,Asylum,1009,1009,1
Criminal Lawyer,Murder,1027,1001,0
Business Lawyer,IntellectualProperty,1025,1013,1
Immigration Lawyer,Deportation,1028,1010,0
Immigration Lawyer,Asylum,1030,1008,1
Business Lawyer,BusinessFraud,1050,1013,1
Tax Lawyer,IRSAudit,1023,1017,1
Criminal Lawyer,Murder,1016,1001,1
Business Lawyer,BusinessFraud,1004,1013,0
Business Lawyer,BusinessFraud,1050,1013,1
Tax Lawyer,TaxFraud,1010,1017,0
Business Lawyer,IntellectualProperty,1034,1013,0
Business Lawyer,BusinessFraud,1026,1013,1
Immigration Lawyer,Deportation,1033,1010,0
Business Lawyer,ContractDispute,1027,1014,1
Immigration Lawyer,Deportation,1021,1010,1
Tax Lawyer,TaxEvasion,1018,1016,1
Tax Lawyer,IRSAudit,1001,1019,0
Criminal Lawyer,Drug,1009,1001,1
Tax Lawyer,TaxFraud,1019,1017,0
Tax Lawyer,IRSAudit,1038,1016,0
Business Lawyer,BusinessFraud,1055,1012,1
Criminal Lawyer,Robbery,1028,1002,1
Tax Lawyer,IRSAudit,1006,1019,1
Tax Lawyer,TaxEvasion,1019,1019,1
Criminal Lawyer,Robbery,1018,1002,0
Business Lawyer,IntellectualProperty,1050,1014,0
Family Lawyer,Adoption,1001,1006,1
Tax Lawyer,IRSAudit,1004,1016,0
Immigration Lawyer,VisaApplication,1029,1010,0
Criminal Lawyer,Murder,1037,1000,0
Criminal Lawyer,Drug,1023,1001,0
Tax Lawyer,TaxEvasion,1045,1016,0
Criminal Lawyer,Burglary,1014,1001,0
Criminal Lawyer,Drug,1015,1000,0
Tax Lawyer,TaxEvasion,1042,1016,0
Business Lawyer,BusinessFraud,1036,1013,1
Tax Lawyer,TaxFraud,1024,1019,1
Family Lawyer,Adoption,1025,1005,0
Family Lawyer,ChildCustody,1012,1005,1
Family Lawyer,Divorce,1006,1005,0
Business Lawyer,IntellectualProperty,1041,1014,0
Immigration Lawyer,Asylum,1036,1009,0
Family Lawyer,ChildCustody,1002,1006,0
Business Lawyer,BusinessFraud,1032,1012,1
Criminal Lawyer,Assault,1019,1000,1
Business Lawyer,BusinessFraud,1020,1014,1
Tax Lawyer,TaxEvasion,1016,1019,1
Business Lawyer,BusinessFraud,1037,1014,1
Criminal Lawyer,Drug,1023,1001,0
Immigration Lawyer,Asylum,1027,1008,1
Business Lawyer,BusinessFraud,1012,1012,0
Tax Lawyer,IRSAudit,1049,1016,0
Tax Lawyer,TaxFraud,1002,1017,0
Immigration Lawyer,VisaApplication,1043,1009,1
Business Lawyer,IntellectualProperty,1010,1012,0
Immigration Lawyer,Asylum,1026,1008,1
Business Lawyer,ContractDispute,1048,1012,0
Business Lawyer,IntellectualProperty,1034,1012,1
Business Lawyer,IntellectualProperty,1029,1012,1
Criminal Lawyer,Drug,1024,1002,0
Immigration Lawyer,VisaApplication,1030,1010,1
Tax Lawyer,TaxFraud,1019,1017,0
Tax Lawyer,IRSAudit,1022,1016,0
Business Lawyer,BusinessFraud,1014,1012,1
Family Lawyer,ChildCustody,1013,1006,1
Family Lawyer,ChildCustody,1014,1005,1
Immigration Lawyer,Deportation,1010,1010,0
Family Lawyer,Divorce,1021,1005,1
Business Lawyer,BusinessFraud,1049,1013,1
Immigration Lawyer,VisaApplication,1024,1008,0
Tax Lawyer,IRSAudit,1026,1016,0
Tax Lawyer,IRSAudit,1022,1018,1
Business Lawyer,IntellectualProperty,1019,1013,0
Immigration Lawyer,VisaApplication,1022,1009,1
Criminal Lawyer,Murder,1004,1001,1
Immigration Lawyer,Deportation,1039,1009,0
Tax Lawyer,TaxEvasion,1005,1018,0
Criminal Lawyer,Assault,1013,1001,0
Tax Lawyer,IRSAudit,1046,1016,0
Criminal Lawyer,Murder,1012,1002,1
Business Lawyer,ContractDispute,1039,1013,1
Criminal Lawyer,Robbery,1029,1000,1
Criminal Lawyer,Drug,1024,1002,0
Immigration Lawyer,VisaApplication,1029,1010,0
Immigration Lawyer,Deportation,1031,1008,1
Tax Lawyer,IRSAudit,1052,1016,1
Immigration Lawyer,Asylum,1018,1009,0
Family Lawyer,Divorce,1026,1006,1
Immigration Lawyer,Asylum,1020,1010,0
Business Lawyer,IntellectualProperty,1017,1014,1
Criminal Lawyer,Burglary,1013,1000,1
Immigration Lawyer,Deportation,1031,1010,0
Family Lawyer,Divorce,1022,1004,1
Immigration Lawyer,Asylum,1042,1010,1
Criminal Lawyer,Robbery,1029,1000,1
Family Lawyer,Adoption,1009,1004,0
Immigration Lawyer,Deportation,1002,1010,0
Tax Lawyer,TaxFraud,1028,1016,1
Criminal Lawyer,Assault,1005,1001,1
Family Lawyer,Divorce,1020,1005,1
Tax Lawyer,IRSAudit,1003,1019,0
Business Lawyer,IntellectualProperty,1017,1014,1
Criminal Lawyer,Burglary,1029,1002,0
Business Lawyer,ContractDispute,1011,1012,1
Immigration Lawyer,VisaApplication,1016,1008,1
Tax Lawyer,TaxFraud,1033,1016,1
Immigration Lawyer,Asylum,1027,1008,1
Tax Lawyer,TaxEvasion,1001,1017,1
Immigration Lawyer,VisaApplication,1044,1009,0
Criminal Lawyer,Robbery,1031,1000,1
Immigration Lawyer,Asylum,1020,1009,1
Business Lawyer,BusinessFraud,1029,1014,1
Tax Lawyer,IRSAudit,1019,1018,1
Criminal Lawyer,Assault,1032,1000,1
Family Lawyer,Divorce,1006,1005,0
Immigration Lawyer,Deportation,1012,1009,1
Family Lawyer,Divorce,1008,1004,0
Family Lawyer,Divorce,1008,1004,0
Tax Lawyer,TaxEvasion,1025,1019,1
Immigration Lawyer,Asylum,1020,1010,0
Family Lawyer,Divorce,1017,1004,1
Immigration Lawyer,VisaApplication,1047,1010,1
Immigration Lawyer,VisaApplication,1041,1010,0
Family Lawyer,Adoption,1024,1004,0
Tax Lawyer,IRSAudit,1002,1018,0
Criminal Lawyer,Drug,1015,1000,0
Tax Lawyer,TaxEvasion,1021,1018,0
Criminal Lawyer,Drug,1017,1000,1
Family Lawyer,Divorce,1007,1006,1
Family Lawyer,Adoption,1013,1004,1
Criminal Lawyer,Assault,1010,1001,0
Business Lawyer,IntellectualProperty,1018,1014,0
Criminal Lawyer,Murder,1031,1002,1
Tax Lawyer,TaxFraud,1022,1017,0
Tax Lawyer,TaxEvasion,1005,1019,0
Tax Lawyer,TaxEvasion,1016,1019,1
Immigration Lawyer,Deportation,1035,1009,0
Family Lawyer,ChildCustody,1006,1004,1
Business Lawyer,IntellectualProperty,1005,1012,1
Criminal Lawyer,Drug,1024,1002,0
Business Lawyer,IntellectualProperty,1035,1012,1
Business Lawyer,BusinessFraud,1049,1012,0
Family Lawyer,ChildCustody,1025,1004,0
Immigration Lawyer,Deportation,1006,1009,0
Immigration Lawyer,Deportation,1005,1008,1
Business Lawyer,IntellectualProperty,1030,1013,0
Tax Lawyer,TaxFraud,1005,1017,0
Tax Lawyer,TaxFraud,1002,1016,0
Immigration Lawyer,Deportation,1011,1008,1
Tax Lawyer,IRSAudit,1037,1016,1
Immigration Lawyer,Asylum,1011,1010,0
Business Lawyer,IntellectualProperty,1008,1013,1
Criminal Lawyer,Murder,1012,1001,0
Tax Lawyer,IRSAudit,1004,1016,0
Tax Lawyer,IRSAudit,1022,1016,0
Criminal Lawyer,Drug,1020,1000,1
Family Lawyer,Adoption,1026,1005,1
Business Lawyer,ContractDispute,1014,1014,0
Business Lawyer,BusinessFraud,1050,1012,1
Tax Lawyer,TaxFraud,1004,1019,1
Criminal Lawyer,Burglary,1025,1001,1
Family Lawyer,Divorce,1040,1004,1
Tax Lawyer,IRSAudit,1005,1016,0
Business Lawyer,BusinessFraud,1016,1014,1
Business Lawyer,ContractDispute,1042,1014,1
Business Lawyer,BusinessFraud,1046,1012,0
Business Lawyer,ContractDispute,1001,1013,1
Immigration Lawyer,VisaApplication,1003,1010,1
Business Lawyer,BusinessFraud,1023,1013,0
Business Lawyer,BusinessFraud,1023,1013,0
Business Lawyer,IntellectualProperty,1045,1013,0
Business Lawyer,ContractDispute,1043,1012,1
Criminal Lawyer,Robbery,1016,1002,0
Tax Lawyer,TaxFraud,1036,1016,0
Immigration Lawyer,VisaApplication,1013,1010,0
Tax Lawyer,IRSAudit,1001,1016,0
Tax Lawyer,IRSAudit,1003,1019,0
Tax Lawyer,TaxFraud,1017,1018,1
Business Lawyer,BusinessFraud,1022,1012,0
Immigration Lawyer,Asylum,1007,1010,0
Tax Lawyer,IRSAudit,1044,1016,1
Tax Lawyer,IRSAudit,1049,1016,0
Business Lawyer,IntellectualProperty,1042,1012,1
Tax Lawyer,IRSAudit,1048,1016,1
Business Lawyer,BusinessFraud,1032,1013,1
Tax Lawyer,TaxFraud,1050,1016,1
Criminal Lawyer,Assault,1005,1001,1
Business Lawyer,BusinessFraud,1054,1014,1
Business Lawyer,BusinessFraud,1049,1012,0
Family Lawyer,Adoption,1001,1005,1
Immigration Lawyer,Deportation,1003,1008,1
Business Lawyer,ContractDispute,1013,1012,0
Business Lawyer,BusinessFraud,1053,1014,0
Immigration Lawyer,VisaApplication,1013,1010,0
Family Lawyer,Divorce,1016,1005,1
Tax Lawyer,TaxFraud,1004,1017,1
Tax Lawyer,IRSAudit,1025,1017,0
Immigration Lawyer,Asylum,1025,1008,0
Business Lawyer,BusinessFraud,1040,1014,1
Immigration Lawyer,VisaApplication,1041,1010,0
Immigration Lawyer,VisaApplication,1009,1010,0
Immigration Lawyer,VisaApplication,1009,1010,0
Immigration Lawyer,Asylum,1036,1010,1
Family Lawyer,Adoption,1021,1006,0
Business Lawyer,BusinessFraud,1032,1012,1
Criminal Lawyer,Robbery,1010,1002,1
Tax Lawyer,TaxEvasion,1053,1016,1
Tax Lawyer,IRSAudit,1013,1017,0
Tax Lawyer,TaxEvasion,1005,1019,0
Business Lawyer,ContractDispute,1021,1012,0
Immigration Lawyer,VisaApplication,1009,1008,1
Business Lawyer,BusinessFraud,1041,1012,1
Criminal Lawyer,Robbery,1014,1000,0
Tax Lawyer,IRSAudit,1016,1018,1
Business Lawyer,ContractDispute,1014,1013,1
Tax Lawyer,TaxEvasion,1029,1016,0
Criminal Lawyer,Drug,1011,1001,0
Family Lawyer,Adoption,1007,1004,0
Tax Lawyer,TaxEvasion,1032,1016,0
Business Lawyer,IntellectualProperty,1036,1012,0
Business Lawyer,ContractDispute,1028,1012,0
Business Lawyer,BusinessFraud,1015,1012,1
Criminal Lawyer,Murder,1041,1002,0
Tax Lawyer,TaxFraud,1021,1019,0
Tax Lawyer,TaxFraud,1002,1017,0
Immigration Lawyer,Asylum,1009,1009,1
Criminal Lawyer,Burglary,1011,1000,1
Criminal Lawyer,Robbery,1026,1002,0
Business Lawyer,BusinessFraud,1041,1013,0
Tax Lawyer,TaxFraud,1023,1019,0
Immigration Lawyer,Deportation,1001,1008,0
Criminal Lawyer,Drug,1040,1002,0
Business Lawyer,ContractDispute,1007,1013,1
Tax Lawyer,TaxFraud,1012,1019,1
Criminal Lawyer,Assault,1024,1000,1
Criminal Lawyer,Burglary,1002,1002,1
Business Lawyer,ContractDispute,1014,1013,1
Business Lawyer,IntellectualProperty,1037,1013,0
Criminal Lawyer,Burglary,1019,1002,0
Criminal Lawyer,Drug,1011,1001,0
Immigration Lawyer,Deportation,1004,1010,0
Family Lawyer,ChildCustody,1028,1006,0
Tax Lawyer,TaxFraud,1008,1017,1
Immigration Lawyer,Deportation,1031,1010,0
Tax Lawyer,TaxEvasion,1019,1019,1
Business Lawyer,ContractDispute,1001,1012,0
Criminal Lawyer,Murder,1016,1001,1
Tax Lawyer,TaxFraud,1007,1016,0
Tax Lawyer,TaxEvasion,1030,1017,1
Business Lawyer,BusinessFraud,1017,1013,1
Tax Lawyer,TaxEvasion,1045,1016,0
Tax Lawyer,TaxFraud,1007,1018,0
Tax Lawyer,TaxFraud,1011,1019,1
Business Lawyer,IntellectualProperty,1039,1012,1
Immigration Lawyer,Asylum,1014,1009,0
Business Lawyer,IntellectualProperty,1005,1013,0
Criminal Lawyer,Robbery,1003,1001,0
Tax Lawyer,TaxEvasion,1031,1019,0
Business Lawyer,IntellectualProperty,1040,1013,0
Business Lawyer,BusinessFraud,1050,1012,1
Criminal Lawyer,Burglary,1021,1000,0
Business Lawyer,BusinessFraud,1053,1014,0
Business Lawyer,BusinessFraud,1009,1013,0
Immigration Lawyer,Asylum,1030,1009,0
Criminal Lawyer,Murder,1038,1000,0
Criminal Lawyer,Murder,1025,1002,1
Family Lawyer,Divorce,1025,1006,0
Business Lawyer,ContractDispute,1052,1014,1
Criminal Lawyer,Assault,1039,1000,1
Family Lawyer,Divorce,1023,1005,1
Tax Lawyer,TaxEvasion,1008,1016,0
Business Lawyer,IntellectualProperty,1039,1014,0
Tax Lawyer,TaxFraud,1020,1017,1
Business Lawyer,IntellectualProperty,1025,1012,1
Family Lawyer,ChildCustody,1019,1006,0
Business Lawyer,IntellectualProperty,1025,1012,1
Immigration Lawyer,Deportation,1001,1008,0
Business Lawyer,IntellectualProperty,1055,1014,1
Family Lawyer,ChildCustody,1019,1004,0
Business Lawyer,BusinessFraud,1041,1012,1
Business Lawyer,IntellectualProperty,1013,1014,1
Tax Lawyer,TaxFraud,1024,1019,1
Business Lawyer,BusinessFraud,1055,1012,1
Family Lawyer,Adoption,1016,1004,1
Criminal Lawyer,Drug,1015,1000,0
Family Lawyer,ChildCustody,1021,1004,1
Family Lawyer,ChildCustody,1008,1006,0
Tax Lawyer,TaxEvasion,1019,1019,1
Immigration Lawyer,Deportation,1019,1009,0
Business Lawyer,BusinessFraud,1006,1014,0
Business Lawyer,IntellectualProperty,1041,1014,0
Tax Lawyer,IRSAudit,1039,1016,1
Immigration Lawyer,VisaApplication,1029,1010,0
Tax Lawyer,TaxFraud,1021,1016,1
Immigration Lawyer,Asylum,1042,1009,1
Immigration Lawyer,Asylum,1007,1010,0
Immigration Lawyer,Deportation,1029,1009,0
Immigration Lawyer,Deportation,1021,1008,1
Criminal Lawyer,Robbery,1021,1001,0
Family Lawyer,Divorce,1021,1005,1
Immigration Lawyer,Asylum,1036,1010,1
Business Lawyer,BusinessFraud,1023,1014,0
Business Lawyer,BusinessFraud,1012,1012,0
Immigration Lawyer,Deportation,1032,1010,0
Business Lawyer,IntellectualProperty,1005,1012,1
Business Lawyer,ContractDispute,1015,1013,1
Immigration Lawyer,Asylum,1023,1010,1
Family Lawyer,ChildCustody,1010,1004,0
Criminal Lawyer,Robbery,1036,1002,1
Business Lawyer,ContractDispute,1015,1014,1
Tax Lawyer,IRSAudit,1017,1016,0
Business Lawyer,BusinessFraud,1034,1014,0
Tax Lawyer,IRSAudit,1001,1018,1
Business Lawyer,IntellectualProperty,1016,1013,1
Tax Lawyer,IRSAudit,1002,1019,1
Criminal Lawyer,Drug,1022,1000,0
