Specialization,Case Type,Case Number,Lawyer ID,Lawyer Name,Image Url,Win/Lose,Location,Price
Criminal Lawyer,Murder,1034,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,580
Criminal Lawyer,Assault,1030,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,261
Criminal Lawyer,Murder,1012,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,903
Criminal Lawyer,Robbery,1013,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,High Court,487
Criminal Lawyer,Murder,1018,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,688
Criminal Lawyer,Murder,1015,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,114
Criminal Lawyer,Burglary,1023,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,466
Criminal Lawyer,Robbery,1021,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,570
Criminal Lawyer,Burglary,1017,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,593
Criminal Lawyer,Murder,1044,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,318
Criminal Lawyer,Robbery,1021,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,129
Criminal Lawyer,Assault,1006,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,628
Criminal Lawyer,Assault,1030,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,697
Criminal Lawyer,Murder,1047,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,992
Criminal Lawyer,Murder,1024,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,675
Criminal Lawyer,Robbery,1003,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,443
Criminal Lawyer,Burglary,1011,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,123
Criminal Lawyer,Murder,1018,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,227
Criminal Lawyer,Robbery,1003,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,940
Criminal Lawyer,Robbery,1038,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,456
Criminal Lawyer,Murder,1035,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,332
Criminal Lawyer,Murder,1035,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,970
Criminal Lawyer,Murder,1015,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,513
Criminal Lawyer,Drug,1010,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,898
Criminal Lawyer,Drug,1010,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,864
Criminal Lawyer,Burglary,1033,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,378
Criminal Lawyer,Murder,1034,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,991
Criminal Lawyer,Robbery,1040,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,522
Criminal Lawyer,Assault,1036,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,307
Criminal Lawyer,Murder,1007,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,229
Criminal Lawyer,Robbery,1040,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,675
Criminal Lawyer,Robbery,1002,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,476
Criminal Lawyer,Drug,1001,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,564
Criminal Lawyer,Assault,1025,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,298
Criminal Lawyer,Murder,1044,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,451
Criminal Lawyer,Murder,1020,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,High Court,885
Criminal Lawyer,Robbery,1014,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,439
Criminal Lawyer,Burglary,1033,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,169
Criminal Lawyer,Assault,1039,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,975
Criminal Lawyer,Robbery,1008,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,528
Criminal Lawyer,Assault,1025,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,720
Criminal Lawyer,Drug,1019,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,934
Criminal Lawyer,Assault,1039,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,255
Criminal Lawyer,Robbery,1038,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,406
Criminal Lawyer,Robbery,1038,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,990
Criminal Lawyer,Assault,1027,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,796
Criminal Lawyer,Murder,1031,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,799
Criminal Lawyer,Robbery,1037,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,High Court,848
Criminal Lawyer,Drug,1045,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,787
Criminal Lawyer,Drug,1022,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,708
Criminal Lawyer,Assault,1043,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,321
Criminal Lawyer,Murder,1034,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,456
Criminal Lawyer,Drug,1019,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,822
Criminal Lawyer,Burglary,1011,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,289
Criminal Lawyer,Assault,1026,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,264
Criminal Lawyer,Burglary,1016,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,593
Criminal Lawyer,Murder,1007,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,685
Criminal Lawyer,Murder,1007,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,185
Criminal Lawyer,Assault,1026,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,423
Criminal Lawyer,Murder,1031,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,High Court,225
Criminal Lawyer,Robbery,1014,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,292
Criminal Lawyer,Burglary,1023,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,416
Criminal Lawyer,Murder,1047,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Supreme Court,853
Criminal Lawyer,Murder,1041,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,370
Criminal Lawyer,Murder,1009,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,268
Criminal Lawyer,Murder,1009,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,661
Criminal Lawyer,Burglary,1017,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,325
Criminal Lawyer,Drug,1022,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,759
Criminal Lawyer,Robbery,1008,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,829
Criminal Lawyer,Drug,1019,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,Vilage Court,991
Criminal Lawyer,Assault,1028,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,887
Criminal Lawyer,Robbery,1003,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,632
Criminal Lawyer,Robbery,1002,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,District Court,878
Criminal Lawyer,Drug,1045,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,247
Criminal Lawyer,Assault,1039,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,526
Criminal Lawyer,Robbery,1046,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,High Court,857
Criminal Lawyer,Murder,1012,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,District Court,564
Criminal Lawyer,Murder,1024,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Vilage Court,107
Criminal Lawyer,Robbery,1046,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,0,Supreme Court,352
Criminal Lawyer,Burglary,1004,1000,Lawyer One,https://media.istockphoto.com/id/1326908785/photo/shot-of-a-business-women-using-laptop-working-at-home-stock-photo.jpg?s=612x612&w=0&k=20&c=HuaPJRwxIlxQaeT-rhb-YwvBzhf4GrgqCDk5F7rvqHg=,1,High Court,821
