Specialization,Case Type,Case Number,Lawyer ID,Win/Lose,Location,Price
Immigration Lawyer,Deportation,1028,1010,0,Supreme Court,777
Criminal Lawyer,Assault,1008,1002,0,District Court,872
Business Lawyer,ContractDispute,1031,1012,0,High Court,812
Criminal Lawyer,Robbery,1018,1002,0,High Court,205
Business Lawyer,IntellectualProperty,1002,1014,1,High Court,664
Business Lawyer,BusinessFraud,1012,1012,0,Supreme Court,429
Business Lawyer,BusinessFraud,1007,1012,0,High Court,900
Family Lawyer,Adoption,1031,1004,1,High Court,664
Family Lawyer,Adoption,1033,1004,1,District Court,683
Criminal Lawyer,Murder,1040,1000,0,Supreme Court,870
Business Lawyer,ContractDispute,1025,1014,1,Supreme Court,229
Tax Lawyer,IRSAudit,1038,1016,0,High Court,448
Business Lawyer,ContractDispute,1024,1014,1,High Court,692
Business Lawyer,IntellectualProperty,1005,1013,0,Vilage Court,659
Tax Lawyer,TaxFraud,1004,1017,1,Supreme Court,433
Immigration Lawyer,VisaApplication,1004,1009,1,Vilage Court,639
Family Lawyer,ChildCustody,1012,1004,0,High Court,871
Family Lawyer,ChildCustody,1015,1006,1,High Court,996
Business Lawyer,ContractDispute,1048,1012,0,District Court,450
Business Lawyer,BusinessFraud,1031,1014,0,High Court,930
Family Lawyer,ChildCustody,1039,1004,1,Supreme Court,455
Family Lawyer,Divorce,1023,1005,1,Supreme Court,887
Business Lawyer,BusinessFraud,1023,1013,0,District Court,572
Immigration Lawyer,Deportation,1046,1010,0,High Court,223
Family Lawyer,ChildCustody,1010,1004,0,High Court,425
Business Lawyer,BusinessFraud,1012,1012,0,District Court,215
Immigration Lawyer,Deportation,1006,1009,0,Vilage Court,312
Business Lawyer,BusinessFraud,1031,1013,0,High Court,697
Immigration Lawyer,VisaApplication,1029,1010,0,District Court,672
Immigration Lawyer,Asylum,1038,1010,0,High Court,683
Criminal Lawyer,Robbery,1036,1002,1,High Court,381
Immigration Lawyer,Asylum,1014,1009,0,District Court,256
Family Lawyer,ChildCustody,1021,1004,1,Vilage Court,521
Family Lawyer,Divorce,1035,1004,0,District Court,916
Family Lawyer,Adoption,1029,1006,1,Supreme Court,293
Family Lawyer,Adoption,1021,1006,0,High Court,740
Family Lawyer,ChildCustody,1012,1006,0,Supreme Court,209
Family Lawyer,ChildCustody,1008,1006,0,District Court,700
Criminal Lawyer,Drug,1017,1001,0,Supreme Court,353
Tax Lawyer,TaxEvasion,1045,1016,0,Vilage Court,820
Criminal Lawyer,Murder,1016,1001,1,Vilage Court,879
Business Lawyer,BusinessFraud,1037,1014,1,District Court,947
Tax Lawyer,TaxFraud,1019,1017,0,Vilage Court,910
Family Lawyer,ChildCustody,1002,1006,0,District Court,243
Business Lawyer,BusinessFraud,1013,1013,0,High Court,488
Business Lawyer,BusinessFraud,1018,1013,0,High Court,132
Criminal Lawyer,Drug,1033,1002,0,High Court,646
Family Lawyer,Adoption,1028,1004,1,District Court,180
Business Lawyer,BusinessFraud,1031,1014,0,Supreme Court,293
Business Lawyer,IntellectualProperty,1038,1013,1,District Court,924
Tax Lawyer,TaxFraud,1017,1018,1,Vilage Court,171
Tax Lawyer,TaxFraud,1020,1017,1,High Court,547
Immigration Lawyer,VisaApplication,1012,1010,1,District Court,273
Business Lawyer,ContractDispute,1015,1013,1,Vilage Court,613
Family Lawyer,Adoption,1017,1006,0,High Court,885
Family Lawyer,Divorce,1002,1004,1,District Court,698
Business Lawyer,IntellectualProperty,1010,1014,1,Supreme Court,390
Business Lawyer,BusinessFraud,1018,1012,0,Supreme Court,939
Business Lawyer,BusinessFraud,1027,1012,1,High Court,596
Business Lawyer,BusinessFraud,1049,1012,0,High Court,312
Immigration Lawyer,Asylum,1019,1008,1,District Court,624
Tax Lawyer,TaxFraud,1009,1018,0,Supreme Court,319
Criminal Lawyer,Burglary,1020,1002,1,Supreme Court,201
Immigration Lawyer,Asylum,1014,1009,0,High Court,195
Tax Lawyer,TaxFraud,1009,1017,0,Supreme Court,225
Tax Lawyer,TaxEvasion,1001,1017,1,Vilage Court,749
Family Lawyer,Adoption,1036,1004,0,Vilage Court,744
Business Lawyer,ContractDispute,1030,1012,0,District Court,146
Family Lawyer,ChildCustody,1010,1005,0,High Court,193
Tax Lawyer,TaxFraud,1029,1019,0,Vilage Court,550
Tax Lawyer,IRSAudit,1037,1016,1,Vilage Court,426
Tax Lawyer,TaxFraud,1009,1016,0,Supreme Court,372
Criminal Lawyer,Murder,1025,1002,1,District Court,140
Business Lawyer,BusinessFraud,1050,1012,1,District Court,869
Tax Lawyer,TaxEvasion,1005,1018,0,Vilage Court,209
Tax Lawyer,TaxFraud,1023,1019,0,Vilage Court,565
Immigration Lawyer,VisaApplication,1015,1009,0,High Court,434
Tax Lawyer,TaxEvasion,1010,1016,1,High Court,866
Immigration Lawyer,VisaApplication,1055,1010,1,Supreme Court,376
Business Lawyer,IntellectualProperty,1009,1014,1,Vilage Court,326
Tax Lawyer,TaxEvasion,1016,1019,1,High Court,410
Immigration Lawyer,VisaApplication,1032,1009,1,District Court,817
Tax Lawyer,TaxEvasion,1001,1017,1,High Court,596
Business Lawyer,BusinessFraud,1009,1013,0,District Court,903
Business Lawyer,BusinessFraud,1032,1012,1,High Court,633
Tax Lawyer,TaxEvasion,1042,1016,0,Supreme Court,915
Criminal Lawyer,Drug,1037,1002,1,High Court,145
Business Lawyer,BusinessFraud,1008,1014,1,Vilage Court,679
Business Lawyer,BusinessFraud,1027,1013,1,High Court,458
Business Lawyer,BusinessFraud,1053,1014,0,Supreme Court,239
Business Lawyer,IntellectualProperty,1007,1014,1,District Court,928
Criminal Lawyer,Burglary,1042,1002,1,Supreme Court,689
Tax Lawyer,IRSAudit,1046,1016,0,High Court,889
Tax Lawyer,IRSAudit,1026,1016,0,High Court,709
Immigration Lawyer,VisaApplication,1014,1010,0,Supreme Court,734
Immigration Lawyer,VisaApplication,1009,1010,0,District Court,798
Criminal Lawyer,Drug,1007,1002,0,High Court,508
Criminal Lawyer,Robbery,1018,1002,0,High Court,180
Immigration Lawyer,Deportation,1005,1010,1,Supreme Court,485
Business Lawyer,IntellectualProperty,1045,1013,0,Vilage Court,983
Tax Lawyer,TaxEvasion,1020,1019,1,District Court,434
Tax Lawyer,TaxFraud,1035,1016,1,District Court,371
Immigration Lawyer,VisaApplication,1044,1009,0,Vilage Court,223
Immigration Lawyer,Deportation,1025,1010,0,High Court,885
Criminal Lawyer,Robbery,1002,1000,1,Supreme Court,383
Tax Lawyer,TaxEvasion,1008,1016,0,District Court,199
Immigration Lawyer,Asylum,1022,1008,1,Supreme Court,315
Tax Lawyer,TaxEvasion,1018,1019,0,Vilage Court,392
Business Lawyer,IntellectualProperty,1002,1013,1,District Court,610
Immigration Lawyer,VisaApplication,1028,1009,0,Vilage Court,820
Tax Lawyer,IRSAudit,1022,1016,0,High Court,197
Business Lawyer,IntellectualProperty,1025,1013,1,Vilage Court,915
Tax Lawyer,TaxFraud,1026,1017,1,District Court,589
Business Lawyer,BusinessFraud,1056,1014,0,District Court,812
Criminal Lawyer,Burglary,1001,1000,1,Vilage Court,238
Business Lawyer,ContractDispute,1013,1012,0,Supreme Court,252
Criminal Lawyer,Drug,1020,1000,1,High Court,161
Criminal Lawyer,Murder,1016,1001,1,High Court,635
Criminal Lawyer,Drug,1015,1002,1,High Court,917
Family Lawyer,ChildCustody,1021,1004,1,Supreme Court,134
Business Lawyer,BusinessFraud,1017,1013,1,Vilage Court,693
Business Lawyer,ContractDispute,1042,1014,1,Vilage Court,148
Immigration Lawyer,Deportation,1016,1009,1,Vilage Court,374
Business Lawyer,ContractDispute,1047,1012,0,Supreme Court,893
Immigration Lawyer,Deportation,1034,1010,1,High Court,671
Family Lawyer,Divorce,1008,1004,0,High Court,112
Criminal Lawyer,Murder,1003,1000,0,Supreme Court,581
Business Lawyer,BusinessFraud,1012,1013,1,High Court,488
Family Lawyer,Divorce,1001,1004,0,Vilage Court,166
Business Lawyer,IntellectualProperty,1035,1012,1,Supreme Court,235
Business Lawyer,BusinessFraud,1051,1012,1,High Court,806
Immigration Lawyer,VisaApplication,1037,1009,0,District Court,215
Immigration Lawyer,VisaApplication,1015,1009,0,High Court,232
Immigration Lawyer,Deportation,1029,1009,0,Supreme Court,590
Immigration Lawyer,Deportation,1024,1009,0,Supreme Court,793
Business Lawyer,IntellectualProperty,1003,1014,1,District Court,545
Criminal Lawyer,Burglary,1022,1002,0,Vilage Court,750
Tax Lawyer,TaxEvasion,1008,1016,0,Supreme Court,531
Criminal Lawyer,Drug,1018,1001,0,Vilage Court,607
Tax Lawyer,TaxFraud,1022,1017,0,District Court,125
Tax Lawyer,IRSAudit,1006,1016,1,Supreme Court,702
Criminal Lawyer,Robbery,1034,1000,1,High Court,871
Immigration Lawyer,Asylum,1019,1008,1,High Court,292
Family Lawyer,Adoption,1020,1006,0,Supreme Court,515
Criminal Lawyer,Burglary,1042,1000,0,Vilage Court,191
Criminal Lawyer,Murder,1036,1000,1,Supreme Court,807
Criminal Lawyer,Robbery,1028,1002,1,Supreme Court,916
Business Lawyer,ContractDispute,1003,1013,0,Supreme Court,699
Immigration Lawyer,Deportation,1029,1009,0,High Court,460
Tax Lawyer,TaxFraud,1028,1016,1,District Court,418
Business Lawyer,ContractDispute,1007,1013,1,Supreme Court,554
Business Lawyer,IntellectualProperty,1039,1014,0,High Court,194
Business Lawyer,BusinessFraud,1046,1012,0,Supreme Court,348
Business Lawyer,BusinessFraud,1031,1014,0,District Court,901
Tax Lawyer,TaxEvasion,1013,1019,0,Supreme Court,230
Criminal Lawyer,Burglary,1020,1002,1,District Court,756
Immigration Lawyer,VisaApplication,1022,1010,1,Vilage Court,986
Family Lawyer,ChildCustody,1026,1004,1,Supreme Court,650
Immigration Lawyer,Deportation,1003,1009,0,District Court,906
Family Lawyer,ChildCustody,1006,1004,1,High Court,330
Immigration Lawyer,Asylum,1020,1008,0,High Court,402
Family Lawyer,Divorce,1009,1006,1,High Court,330
Tax Lawyer,IRSAudit,1048,1016,1,District Court,467
Immigration Lawyer,VisaApplication,1014,1008,1,High Court,709
Tax Lawyer,TaxFraud,1010,1017,0,High Court,962
Immigration Lawyer,VisaApplication,1052,1010,0,Supreme Court,246
Criminal Lawyer,Burglary,1002,1002,1,Vilage Court,478
Business Lawyer,BusinessFraud,1018,1013,0,High Court,380
Business Lawyer,ContractDispute,1043,1014,1,High Court,876
Family Lawyer,Divorce,1008,1004,0,District Court,682
Immigration Lawyer,Asylum,1026,1008,1,Vilage Court,557
Business Lawyer,BusinessFraud,1036,1014,1,Supreme Court,488
Criminal Lawyer,Robbery,1014,1000,0,Vilage Court,622
Family Lawyer,Divorce,1034,1004,1,Vilage Court,863
Immigration Lawyer,Deportation,1023,1008,1,High Court,190
Criminal Lawyer,Drug,1009,1001,1,District Court,975
Business Lawyer,IntellectualProperty,1003,1014,1,District Court,924
Business Lawyer,IntellectualProperty,1005,1012,1,Vilage Court,985
Business Lawyer,IntellectualProperty,1036,1012,0,Vilage Court,705
Tax Lawyer,TaxFraud,1024,1018,1,District Court,809
Business Lawyer,BusinessFraud,1022,1012,0,District Court,134
Immigration Lawyer,Deportation,1054,1010,1,District Court,317
Criminal Lawyer,Burglary,1029,1001,0,Supreme Court,194
Immigration Lawyer,Deportation,1035,1009,0,District Court,921
Business Lawyer,IntellectualProperty,1004,1014,0,High Court,198
Criminal Lawyer,Assault,1039,1002,0,District Court,270
Immigration Lawyer,Deportation,1029,1009,0,Supreme Court,761
Business Lawyer,ContractDispute,1001,1012,0,Supreme Court,624
Criminal Lawyer,Robbery,1019,1001,0,High Court,375
Business Lawyer,ContractDispute,1047,1012,0,District Court,168
Business Lawyer,BusinessFraud,1041,1013,0,Vilage Court,677
Family Lawyer,ChildCustody,1008,1006,0,High Court,452
Family Lawyer,ChildCustody,1010,1005,0,District Court,752
Business Lawyer,BusinessFraud,1018,1012,0,High Court,538
Immigration Lawyer,VisaApplication,1027,1009,1,District Court,393
Family Lawyer,Divorce,1010,1006,1,High Court,533
Immigration Lawyer,VisaApplication,1013,1010,0,High Court,347
Immigration Lawyer,Deportation,1004,1010,0,District Court,661
Immigration Lawyer,Asylum,1018,1009,0,District Court,398
Tax Lawyer,IRSAudit,1027,1017,0,Vilage Court,106
Family Lawyer,Divorce,1003,1006,0,High Court,839
Family Lawyer,ChildCustody,1025,1004,0,Vilage Court,608
Business Lawyer,ContractDispute,1043,1012,1,District Court,678
Business Lawyer,IntellectualProperty,1039,1014,0,Supreme Court,568
Immigration Lawyer,Deportation,1002,1010,0,Supreme Court,449
Immigration Lawyer,Asylum,1007,1010,0,High Court,182
Business Lawyer,BusinessFraud,1029,1014,1,District Court,180
Criminal Lawyer,Drug,1040,1002,0,Supreme Court,666
Immigration Lawyer,Asylum,1008,1010,1,High Court,201
Family Lawyer,Divorce,1023,1004,0,District Court,914
Family Lawyer,Adoption,1033,1004,1,District Court,890
Criminal Lawyer,Assault,1010,1001,0,District Court,472
Tax Lawyer,IRSAudit,1037,1016,1,Supreme Court,551
Criminal Lawyer,Murder,1012,1002,1,High Court,170
Business Lawyer,ContractDispute,1006,1013,0,District Court,380
Family Lawyer,ChildCustody,1016,1006,0,District Court,662
Criminal Lawyer,Drug,1022,1000,0,Supreme Court,131
Criminal Lawyer,Murder,1004,1000,0,District Court,710
Family Lawyer,Adoption,1013,1004,1,Supreme Court,711
Immigration Lawyer,Asylum,1031,1009,1,Supreme Court,558
Immigration Lawyer,Asylum,1024,1010,0,Vilage Court,114
Tax Lawyer,TaxFraud,1007,1018,0,District Court,656
Immigration Lawyer,Deportation,1012,1009,1,High Court,803
Family Lawyer,Divorce,1022,1006,1,Vilage Court,287
Criminal Lawyer,Assault,1010,1001,0,Supreme Court,218
Tax Lawyer,TaxEvasion,1005,1018,0,District Court,892
Criminal Lawyer,Burglary,1025,1001,1,District Court,130
Business Lawyer,ContractDispute,1021,1012,0,District Court,871
Family Lawyer,Adoption,1023,1006,1,District Court,769
Criminal Lawyer,Murder,1031,1002,1,District Court,294
Family Lawyer,ChildCustody,1004,1005,1,High Court,485
Business Lawyer,BusinessFraud,1022,1013,1,District Court,247
Tax Lawyer,IRSAudit,1022,1019,1,Vilage Court,245
Business Lawyer,ContractDispute,1006,1013,0,High Court,794
Business Lawyer,BusinessFraud,1027,1013,1,Supreme Court,137
Family Lawyer,Divorce,1024,1006,1,Vilage Court,960
Criminal Lawyer,Murder,1034,1002,1,High Court,684
Business Lawyer,BusinessFraud,1055,1012,1,District Court,522
Tax Lawyer,TaxFraud,1011,1019,1,Supreme Court,962
Criminal Lawyer,Burglary,1025,1001,1,High Court,984
Criminal Lawyer,Assault,1032,1000,1,Supreme Court,947
Immigration Lawyer,VisaApplication,1006,1008,0,Vilage Court,511
Criminal Lawyer,Assault,1007,1000,1,High Court,745
Criminal Lawyer,Assault,1010,1000,0,District Court,286
Business Lawyer,BusinessFraud,1021,1013,1,District Court,722
Business Lawyer,ContractDispute,1030,1012,0,High Court,562
Immigration Lawyer,Asylum,1028,1008,0,Vilage Court,342
Criminal Lawyer,Assault,1001,1002,0,District Court,135
Tax Lawyer,TaxEvasion,1029,1017,0,Supreme Court,369
Tax Lawyer,TaxFraud,1020,1018,0,High Court,375
Business Lawyer,ContractDispute,1027,1014,1,District Court,806
Immigration Lawyer,Asylum,1007,1010,0,District Court,437
Immigration Lawyer,VisaApplication,1022,1009,1,Supreme Court,119
Business Lawyer,ContractDispute,1039,1013,1,District Court,483
Business Lawyer,ContractDispute,1027,1014,1,High Court,102
Tax Lawyer,TaxEvasion,1010,1019,1,High Court,785
Business Lawyer,BusinessFraud,1008,1014,1,Vilage Court,537
Business Lawyer,IntellectualProperty,1012,1014,1,High Court,740
Immigration Lawyer,VisaApplication,1044,1010,0,Vilage Court,502
Criminal Lawyer,Burglary,1008,1000,0,Supreme Court,676
Family Lawyer,Adoption,1001,1005,1,Vilage Court,802
Criminal Lawyer,Robbery,1010,1002,1,Supreme Court,158
Immigration Lawyer,Deportation,1032,1010,0,Supreme Court,912
Business Lawyer,BusinessFraud,1009,1013,0,Vilage Court,244
Family Lawyer,Divorce,1009,1006,1,District Court,939
Tax Lawyer,TaxEvasion,1032,1016,0,Supreme Court,225
Business Lawyer,BusinessFraud,1026,1013,1,Supreme Court,826
Criminal Lawyer,Burglary,1022,1001,0,District Court,584
Criminal Lawyer,Burglary,1008,1000,0,High Court,873
Tax Lawyer,TaxFraud,1009,1018,0,Supreme Court,708
Immigration Lawyer,Deportation,1037,1010,1,Vilage Court,233
Immigration Lawyer,Deportation,1046,1010,0,District Court,250
Business Lawyer,ContractDispute,1035,1014,1,Vilage Court,389
Tax Lawyer,TaxFraud,1008,1017,1,Supreme Court,282
Criminal Lawyer,Burglary,1015,1001,1,High Court,146
Immigration Lawyer,Deportation,1015,1010,0,District Court,524
Tax Lawyer,TaxFraud,1009,1017,0,High Court,663
Business Lawyer,IntellectualProperty,1049,1014,0,High Court,558
Tax Lawyer,TaxEvasion,1021,1018,0,District Court,307
Criminal Lawyer,Murder,1025,1002,1,High Court,252
Business Lawyer,IntellectualProperty,1004,1014,0,High Court,382
Family Lawyer,Adoption,1004,1004,0,District Court,854
Tax Lawyer,IRSAudit,1022,1018,1,Vilage Court,917
Immigration Lawyer,Asylum,1002,1008,1,District Court,425
Family Lawyer,Divorce,1023,1004,0,Supreme Court,554
Tax Lawyer,TaxEvasion,1011,1018,0,Vilage Court,448
Family Lawyer,Adoption,1002,1005,1,Vilage Court,880
Family Lawyer,Adoption,1003,1004,0,High Court,920
Tax Lawyer,TaxEvasion,1017,1019,0,Supreme Court,656
Criminal Lawyer,Murder,1012,1001,0,Vilage Court,795
Business Lawyer,BusinessFraud,1038,1014,1,Supreme Court,129
Tax Lawyer,TaxFraud,1026,1017,1,District Court,874
Criminal Lawyer,Assault,1039,1000,1,District Court,350
Business Lawyer,ContractDispute,1045,1014,0,Vilage Court,594
Tax Lawyer,TaxEvasion,1011,1018,0,High Court,417
Criminal Lawyer,Drug,1007,1002,0,Vilage Court,596
Tax Lawyer,TaxFraud,1033,1016,1,Vilage Court,103
Tax Lawyer,IRSAudit,1019,1018,1,Supreme Court,168
Tax Lawyer,TaxFraud,1007,1017,1,District Court,212
Family Lawyer,Divorce,1017,1004,1,District Court,340
Family Lawyer,Divorce,1011,1005,1,Supreme Court,582
Family Lawyer,ChildCustody,1039,1004,1,High Court,767
Criminal Lawyer,Murder,1004,1000,0,Vilage Court,118
Tax Lawyer,IRSAudit,1048,1016,1,High Court,429
Family Lawyer,Divorce,1022,1005,0,Vilage Court,932
Tax Lawyer,IRSAudit,1039,1016,1,Supreme Court,520
Business Lawyer,IntellectualProperty,1030,1013,0,High Court,631
Tax Lawyer,TaxFraud,1010,1018,1,High Court,470
Family Lawyer,Adoption,1026,1005,1,Supreme Court,711
Immigration Lawyer,VisaApplication,1047,1010,1,High Court,396
Business Lawyer,BusinessFraud,1050,1013,1,District Court,204
Tax Lawyer,IRSAudit,1022,1016,0,Vilage Court,202
Business Lawyer,IntellectualProperty,1030,1014,0,District Court,662
Business Lawyer,BusinessFraud,1012,1012,0,District Court,522
Business Lawyer,BusinessFraud,1012,1013,1,District Court,293
Immigration Lawyer,Deportation,1028,1010,0,High Court,567
Immigration Lawyer,VisaApplication,1027,1009,1,Vilage Court,598
Immigration Lawyer,Asylum,1030,1008,1,Vilage Court,234
Tax Lawyer,TaxFraud,1016,1017,0,Vilage Court,148
Tax Lawyer,IRSAudit,1028,1017,1,Vilage Court,162
Immigration Lawyer,VisaApplication,1026,1010,1,Vilage Court,966
Criminal Lawyer,Robbery,1021,1001,0,District Court,914
Criminal Lawyer,Burglary,1021,1000,0,Supreme Court,426
Immigration Lawyer,VisaApplication,1044,1009,0,District Court,625
Business Lawyer,ContractDispute,1052,1014,1,High Court,757
Tax Lawyer,IRSAudit,1046,1016,0,Supreme Court,608
Criminal Lawyer,Murder,1036,1000,1,Vilage Court,902
Immigration Lawyer,Deportation,1002,1010,0,High Court,676
Family Lawyer,Divorce,1010,1006,1,District Court,322
Immigration Lawyer,Deportation,1004,1008,0,High Court,395
Business Lawyer,BusinessFraud,1047,1013,1,High Court,380
Tax Lawyer,IRSAudit,1028,1019,1,High Court,184
Tax Lawyer,IRSAudit,1011,1016,0,District Court,203
Tax Lawyer,TaxFraud,1012,1016,1,Vilage Court,352
Criminal Lawyer,Drug,1018,1001,0,High Court,349
Immigration Lawyer,Deportation,1003,1008,1,Supreme Court,324
Family Lawyer,ChildCustody,1009,1005,1,High Court,504
Business Lawyer,BusinessFraud,1049,1012,0,High Court,451
Family Lawyer,ChildCustody,1028,1006,0,Supreme Court,621
Family Lawyer,Adoption,1013,1005,1,District Court,133
Criminal Lawyer,Assault,1027,1002,0,District Court,116
Family Lawyer,ChildCustody,1028,1006,0,District Court,517
Business Lawyer,BusinessFraud,1050,1013,1,District Court,138
Immigration Lawyer,VisaApplication,1028,1009,0,High Court,297
Criminal Lawyer,Murder,1009,1000,0,Vilage Court,270
Family Lawyer,Adoption,1005,1005,0,District Court,992
Family Lawyer,Divorce,1023,1005,1,District Court,322
Tax Lawyer,IRSAudit,1040,1016,1,District Court,584
Tax Lawyer,IRSAudit,1023,1018,0,District Court,120
Business Lawyer,BusinessFraud,1014,1012,1,Supreme Court,378
Tax Lawyer,IRSAudit,1005,1016,0,Supreme Court,336
Immigration Lawyer,VisaApplication,1052,1010,0,Supreme Court,983
Family Lawyer,Divorce,1026,1006,1,High Court,585
Tax Lawyer,TaxEvasion,1019,1019,1,District Court,359
Family Lawyer,Adoption,1001,1006,1,District Court,395
Criminal Lawyer,Burglary,1021,1000,0,District Court,591
Business Lawyer,ContractDispute,1015,1014,1,District Court,302
Immigration Lawyer,Deportation,1010,1010,0,Vilage Court,336
Immigration Lawyer,Deportation,1011,1008,1,High Court,309
Business Lawyer,IntellectualProperty,1046,1014,1,High Court,704
Business Lawyer,ContractDispute,1042,1013,0,High Court,246
Immigration Lawyer,Asylum,1030,1008,1,District Court,636
Business Lawyer,IntellectualProperty,1033,1012,1,District Court,615
Business Lawyer,ContractDispute,1003,1013,0,Supreme Court,103
Criminal Lawyer,Robbery,1010,1002,1,High Court,454
Family Lawyer,Divorce,1035,1004,0,Vilage Court,467
Family Lawyer,Adoption,1020,1006,0,District Court,297
Immigration Lawyer,Asylum,1039,1010,0,High Court,884
Business Lawyer,ContractDispute,1006,1012,0,Supreme Court,166
Criminal Lawyer,Drug,1015,1002,1,Supreme Court,416
Business Lawyer,ContractDispute,1014,1014,0,District Court,584
Criminal Lawyer,Drug,1027,1000,0,Vilage Court,776
Family Lawyer,ChildCustody,1026,1004,1,Supreme Court,331
Tax Lawyer,TaxFraud,1019,1017,0,District Court,308
Tax Lawyer,TaxEvasion,1042,1016,0,Supreme Court,747
Business Lawyer,ContractDispute,1024,1013,1,Supreme Court,176
Tax Lawyer,IRSAudit,1017,1016,0,District Court,471
Immigration Lawyer,Asylum,1043,1010,0,High Court,255
Immigration Lawyer,Deportation,1046,1010,0,High Court,600
Tax Lawyer,IRSAudit,1004,1016,0,Vilage Court,105
Business Lawyer,IntellectualProperty,1005,1012,1,District Court,708
Business Lawyer,IntellectualProperty,1010,1014,1,Vilage Court,874
Criminal Lawyer,Burglary,1019,1002,0,Supreme Court,191
Criminal Lawyer,Burglary,1030,1000,0,District Court,623
Family Lawyer,Divorce,1007,1006,1,Vilage Court,333
Tax Lawyer,TaxFraud,1008,1018,0,High Court,908
Business Lawyer,BusinessFraud,1016,1012,1,District Court,385
Immigration Lawyer,Asylum,1013,1008,0,District Court,269
Business Lawyer,IntellectualProperty,1011,1013,1,District Court,277
Immigration Lawyer,Deportation,1015,1010,0,Supreme Court,860
Family Lawyer,ChildCustody,1012,1005,1,District Court,906
Family Lawyer,ChildCustody,1027,1006,1,Vilage Court,842
Tax Lawyer,TaxEvasion,1034,1016,0,District Court,837
Business Lawyer,BusinessFraud,1027,1013,1,District Court,104
Family Lawyer,Adoption,1026,1005,1,District Court,248
Tax Lawyer,TaxEvasion,1010,1016,1,Vilage Court,815
Criminal Lawyer,Assault,1011,1002,1,High Court,304
Family Lawyer,Adoption,1029,1004,1,District Court,585
Tax Lawyer,TaxEvasion,1020,1019,1,High Court,678
Criminal Lawyer,Robbery,1006,1001,1,Vilage Court,371
Immigration Lawyer,VisaApplication,1045,1010,1,Vilage Court,288
Criminal Lawyer,Assault,1008,1002,0,Supreme Court,469
Business Lawyer,IntellectualProperty,1009,1014,1,High Court,530
Family Lawyer,Divorce,1020,1005,1,District Court,252
Criminal Lawyer,Burglary,1013,1002,1,High Court,108
Criminal Lawyer,Robbery,1006,1001,1,Vilage Court,675
Immigration Lawyer,VisaApplication,1010,1008,0,High Court,217
Business Lawyer,ContractDispute,1030,1012,0,Vilage Court,656
Criminal Lawyer,Burglary,1041,1000,0,Supreme Court,921
Criminal Lawyer,Burglary,1019,1002,0,Vilage Court,576
